,Gloria歌莉雅,东部战区,哔哩哔哩向前冲,南翔不爱吃饭,央视新闻,明日方舟,新华社,红客官方账号,疆域阿力木,俏佳人xxx,人民日报,White55开解说,云视听小电视-TV,不嘚瑟都掉毛,主持人yoyo酱,Uzi,卓卓脑婆,养柒拾记_时代少年团,绝区零,TF家族,真实电竞,剪刀手杰瑞,哔哩哔哩漫画,外交部发言人办公室,semkavkvadrate街拍,特效小哥studio,项真爽
mid,1889545341,1735615743,2053966364,596842980,456664753,161775300,473837611,508168558,50316381,423738152,1131457022,3248235,492840942,601599567,457718798,42619059,1726597059,487802944,1636034895,3670216,1628139107,117389926,326499679,1087482281,1022925768,3066511,386406763
2022-08-07::19,87844,52965,53216,40661,40547,34307,32397,32358,31707,31629,31042,29884,28439,26715,26242,25381,23552,22732,22599,21899,21631,0,0,0,0,0,0
2022-08-07::20,86262,49949,57102,39238,40330,0,32507,33736,31709,30133,30916,29394,28280,26078,25987,25459,24736,21963,21881,21962,0,21415,21083,0,0,0,0
2022-08-07::21,84892,47789,59896,37058,40091,0,32364,35195,31822,28801,30833,28966,28052,25785,25935,25572,25639,21343,21198,22149,0,21666,0,21001,0,0,0
2022-08-07::22,83576,44144,62305,35140,39841,0,32281,42264,31615,27262,30924,28549,27791,25675,25794,0,26086,20641,20620,22302,0,21623,20728,22157,0,0,0
2022-08-07::23,82548,41188,64864,32727,39539,0,32123,44598,31544,27134,30901,28312,27416,25561,25371,0,26712,20054,19941,22461,0,21745,20572,23066,0,0,0
2022-08-08::00,81246,39839,66969,30848,39339,0,32026,46835,31469,27156,30792,28182,27141,25317,25052,0,27288,19618,0,22598,0,21832,20387,23667,19671,0,0
2022-08-08::01,79345,39305,67883,29327,39168,0,31731,48223,31287,26852,30574,27855,26923,25207,24750,0,27455,0,0,22630,0,22007,20324,23685,19518,19380,0
2022-08-08::02,77823,38677,68508,28644,39103,0,31669,49060,31271,26613,30520,27337,26848,24759,24508,0,27464,0,0,22702,0,22031,20131,23491,19487,19907,0
2022-08-08::03,76810,38490,68697,28220,38980,0,31634,49559,31228,26403,30455,26729,26822,24388,24315,0,27368,0,0,22721,0,21979,19992,23348,19441,20201,0
2022-08-08::04,76155,38293,69022,28011,38976,0,31611,49750,31162,26272,30455,26069,26797,24210,24232,0,27290,0,0,22790,0,21950,19942,23276,19392,20299,0
2022-08-08::05,76091,38214,69036,27933,39069,0,31568,49871,31170,26204,30540,25519,26823,24092,24229,0,27388,0,0,22869,0,21894,19932,23239,19388,20352,0
2022-08-08::06,75310,37986,69321,27787,38932,0,31535,49860,31125,26117,30429,26677,26817,23949,24183,0,27309,19376,0,22885,0,21894,19909,23167,0,20380,0
2022-08-08::07,74429,37700,69445,27586,38931,0,31541,49587,31130,26049,30421,25665,26843,23692,24119,0,27288,0,0,22956,0,21885,20056,22975,19343,20514,0
2022-08-08::09,69389,37006,70507,26209,39138,0,31430,48580,30990,25391,30288,22416,26820,22253,23671,0,27263,0,0,23348,0,21934,20342,22253,19255,21440,0
2022-08-08::11,62612,36655,71577,24261,38646,0,31171,45596,31137,25173,30037,19603,26080,19918,23149,0,27039,0,0,23512,0,20905,20724,21550,18814,24209,0
2022-08-08::12,61161,36303,69099,23709,38115,0,30717,43124,31275,25867,29584,18274,25633,19258,23210,0,27180,0,0,23317,0,19686,20628,21274,0,26011,19536
